пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
M,27.10.4,18.19.6,5.56.2,21.4.12,15.35.10,24064
M,27.23.4,18.33.6,5.44.2,19.54.12,13.15.10,10976
M,29.53.4,21.3.6,10.31.2,28.21.12,26.46.10,25758
F,29.37.4,21.9.6,10.3.2,28.41.12,0.14.11,17739
F,29.55.4,19.22.6,13.1.2,1.20.1,17.54.10,27395
M,26.44.4,17.39.6,6.44.2,24.4.12,20.29.10,24762
M,28.42.4,17.21.6,13.36.2,4.51.1,19.56.10,15881
M,27.19.4,18.29.6,5.47.2,20.13.12,13.55.10,21486
M,27.7.4,18.16.6,5.58.2,21.17.12,15.59.10,27266
F,27.20.4,18.30.6,5.46.2,20.9.12,13.47.10,25920
F,0.8.5,20.24.6,11.48.2,29.9.12,21.3.10,26817
M,28.58.4,17.42.6,13.41.2,4.27.1,18.52.10,21704
M,27.11.4,18.20.6,5.54.2,20.58.12,15.23.10,17397
F,29.38.4,18.44.6,13.27.2,2.40.1,17.29.10,21077
M,28.41.4,17.20.6,13.36.2,4.52.1,19.58.10,27345
M,0.1.5,19.43.6,12.41.2,0.35.1,18.33.10,28633
F,27.29.4,18.38.6,5.41.2,19.27.12,12.17.10,10598
M,27.0.4,18.6.6,6.9.2,22.4.12,17.21.10,18685
F,26.35.4,16.23.6,9.33.2,0.29.1,26.56.10,11903
M,26.34.4,17.15.6,7.24.2,25.53.12,22.53.10,26701
F,29.6.4,17.52.6,13.41.2,4.12.1,18.28.10,25100
M,27.9.4,16.12.6,11.35.2,3.44.1,26.37.10,22416
M,27.33.4,18.41.6,5.39.2,19.9.12,11.37.10,20125
M,27.43.4,18.48.6,5.37.2,18.25.1,9.50.10,17813
F,29.52.4,19.14.6,13.7.2,1.36.1,17.44.10,23186
F,29.57.4,20.59.6,10.41.2,28.21.12,25.48.10,25593
F,0.6.5,20.6.6,12.14.2,29.46.12,19.42.10,29833
M,27.24.4,16.17.6,12.7.2,4.22.1,25.45.10,26513
M,29.43.4,21.8.6,10.12.2,28.31.12,28.58.10,22731
M,27.31.4,16.20.6,12.20.2,4.35.1,25.15.10,23521
M,27.36.4,16.23.6,12.28.2,4.43.1,24.55.10,26042
M,28.42.4,17.21.6,13.36.2,4.51.1,19.56.10,27221
F,26.30.4,16.55.6,8.4.2,27.27.12,24.38.10,28675
M,29.8.4,17.55.6,13.41.2,4.8.1,18.22.10,28266
M,29.59.4,19.34.6,12.50.2,0.54.1,18.13.10,27388
M,26.30.4,16.39.6,8.42.2,28.51.12,25.53.10,26509
M,28.15.4,16.53.6,13.17.2,5.8.1,21.55.10,24689
M,27.3.4,16.11.6,11.22.2,3.26.1,26.52.10,27094
M,26.35.4,16.23.6,9.32.2,0.28.1,26.55.10,26128
M,0.7.5,20.32.6,11.36.2,28.55.12,21.45.10,18697
M,0.7.5,20.8.6,12.11.2,29.41.12,19.51.10,28057
F,29.58.4,20.58.6,10.44.2,28.22.12,25.33.10,24802
M,27.28.4,16.19.6,12.14.2,4.29.1,25.29.10,27443
M,0.8.5,20.24.6,11.48.2,29.9.12,21.3.10,18149
M,27.14.4,16.13.6,11.46.2,3.57.1,26.22.10,27730
M,26.34.4,16.24.6,9.29.2,0.23.1,26.53.10,9946
M,26.46.4,17.43.6,6.39.2,23.47.12,20.5.10,21632
M,26.30.4,16.41.6,8.37.2,28.40.12,25.45.10,27008
F,26.57.4,18.2.6,6.14.2,22.21.12,17.50.10,29882
M,26.45.4,16.14.6,10.22.2,1.56.1,27.19.10,24830
M,26.44.4,16.14.6,10.19.2,1.50.1,27.19.10,21216
M,28.15.4,16.33.6,9.19.2,19.15.12,15.56.9,29048
M,25.41.4,13.59.6,7.20.2,21.29.12,21.9.9,28657
M,25.41.4,15.56.6,2.7.2,10.47.12,20.5.9,23795
M,25.11.4,14.18.6,5.11.2,18.22.12,24.17.9,19278
M,28.37.4,18.47.6,6.35.2,15.49.12,28.33.9,20602
M,26.47.4,14.36.6,9.9.2,22.27.12,15.53.9,12543
M,25.42.4,15.58.6,2.4.2,10.38.12,19.54.9,28485
M,26.7.4,14.8.6,8.17.2,22.20.12,18.37.9,29529
M,26.8.4,16.26.6,1.38.2,8.14.12,16.22.9,27505
M,28.11.4,16.24.6,9.23.2,19.33.12,15.37.9,24075
F,28.46.4,18.19.6,7.28.2,16.1.12,23.50.9,23042
M,25.27.4,15.33.6,2.36.2,12.30.12,21.57.9,30270
M,28.26.4,16.54.6,9.5.2,18.31.12,16.53.9,13218
M,25.11.4,14.18.6,5.11.2,18.22.12,24.17.9,19278
M,27.24.4,15.16.6,9.33.2,21.41.12,14.39.9,26259
F,28.44.4,17.56.6,8.3.2,16.34.12,21.13.9,28156
M,28.17.4,18.58.6,5.56.2,16.30.12,3.31.10,25629
F,26.38.4,16.44.6,1.35.2,6.2.12,11.54.9,24364
F,25.47.4,16.4.6,1.57.2,10.8.12,19.15.9,30239
M,25.12.4,14.16.6,5.20.2,18.37.12,24.12.9,29693
M,27.13.4,15.3.6,9.29.2,21.59.12,14.51.9,27417
M,25.38.4,15.51.6,2.13.2,11.10.12,20.33.9,28197
M,27.50.4,15.51.6,9.34.2,20.40.12,14.46.9,23063
M,28.40.4,18.43.6,6.45.2,15.47.12,27.33.9,19948
M,25.40.4,15.55.6,2.8.2,10.51.12,20.10.9,29070
M,25.24.4,15.27.6,2.45.2,12.57.12,22.22.9,11722
F,28.42.4,17.45.6,8.16.2,16.52.12,20.17.9,22530
M,25.26.4,14.1.6,6.33.2,20.30.12,22.44.9,13734
M,28.4.4,16.12.6,9.28.2,19.57.12,15.14.9,19048
M,26.1.4,16.19.6,1.43.2,8.50.12,17.22.9,21251
F,26.44.4,14.34.6,9.7.2,22.29.12,16.1.9,26628
M,27.4.4,14.53.6,9.23.2,22.12.12,15.8.9,20799
M,25.12.4,14.55.6,3.40.2,15.18.12,23.57.9,26244
M,28.10.4,16.22.6,9.24.2,19.37.12,15.33.9,24833
F,26.22.4,14.17.6,8.40.2,22.30.12,17.28.9,29848
F,28.35.4,17.19.6,8.44.2,17.41.12,18.19.9,28266
M,28.42.4,18.37.6,6.57.2,15.47.12,26.28.9,24718
M,28.45.4,18.6.6,7.49.2,16.19.12,22.13.9,28590
M,28.13.4,16.29.6,9.21.2,19.24.12,15.46.9,24640
M,28.19.4,16.41.6,9.14.2,18.59.12,16.15.9,18455
M,28.6.4,16.15.6,9.27.2,19.51.12,15.19.9,29055
M,25.26.4,15.32.6,2.38.2,12.36.12,22.3.9,22232
M,28.37.4,17.24.6,8.39.2,17.30.12,18.41.9,9313
M,28.38.4,17.28.6,8.35.2,17.24.12,18.55.9,27467
M,28.34.4,18.50.6,6.25.2,15.53.12,29.32.9,19126
M,28.12.4,16.27.6,9.22.2,19.27.12,15.43.9,8184
M,25.29.4,14.0.6,6.45.2,20.47.12,22.22.9,27040
M,25.35.4,13.59.6,7.3.2,21.10.12,21.46.9,27610
F,25.16.4,14.8.6,5.49.2,19.25.12,23.46.9,25728
M,25.22.4,14.4.6,6.15.2,20.5.12,23.13.9,27065
F,25.13.4,14.14.6,5.26.2,18.47.12,24.8.9,19747
M,25.52.4,14.2.6,7.46.2,21.56.12,20.4.9,24697
F,25.35.4,15.46.6,2.18.2,11.30.12,20.56.9,21880
M,25.34.4,15.45.6,2.20.2,11.36.12,21.2.9,23875
M,25.43.4,15.58.6,2.4.2,10.36.12,19.51.9,23841
M,26.21.4,16.35.6,1.33.2,7.13.12,14.29.9,23226
M,28.46.4,18.16.6,7.34.2,16.5.12,23.23.9,19966
M,26.8.4,14.8.6,8.17.2,22.20.12,18.36.9,29540
F,26.35.4,1.27.6,8.57.2,22.32.12,16.33.9,29765
