пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
M,26.56.4,14.27.6,5.8.2,6.0.12,18.37.8,20391
M,25.47.4,12.46.6,5.23.2,9.21.12,13.41.8,30398
M,24.48.4,14.12.6,27.38.1,27.27.11,20.17.8,15626
M,26.41.4,16.45.6,1.36.2,5.49.12,11.21.9,26694
M,27.24.4,16.16.6,3.5.2,3.30.12,29.38.8,26936
M,26.51.4,16.47.6,1.42.2,5.11.12,9.36.9,17678
M,24.11.4,13.27.6,28.30.1,1.11.12,23.0.8,23034
F,24.53.4,12.1.6,4.29.2,10.13.12,14.2.8,25298
M,27.25.4,16.8.6,3.19.2,3.33.12,28.22.8,24800
F,27.5.4,14.46.6,4.55.2,5.23.12,20.1.8,22114
M,27.15.4,16.37.6,2.22.2,3.48.12,3.51.9,30382
M,24.16.4,13.34.6,28.19.1,0.37.12,22.46.8,28611
F,24.17.4,11.48.6,3.13.2,9.35.12,16.37.8,19443
M,25.0.4,14.22.6,27.31.1,26.22.11,18.58.8,30733
M,27.25.4,16.10.6,3.16.2,3.32.12,28.36.8,30386
M,24.47.4,14.12.6,27.38.1,27.29.11,20.20.8,21613
M,27.5.4,16.45.6,1.59.2,4.21.12,6.41.9,20401
M,23.58.4,11.56.6,1.58.2,8.11.12,19.28.8,30647
M,26.43.4,14.3.6,5.21.2,6.49.12,17.3.8,24252
M,25.2.4,12.6.6,4.41.2,10.12.12,13.45.8,27399
M,26.11.4,13.15.6,5.31.2,8.27.12,14.36.8,17172
M,23.58.4,12.58.6,29.15.1,3.15.12,23.17.8,26330
F,24.38.4,11.53.6,4.3.2,10.8.12,14.49.8,29000
M,24.36.4,11.52.6,3.59.2,10.6.12,14.56.8,28065
M,27.24.4,16.12.6,3.12.2,3.31.12,29.0.8,20229
M,26.29.4,13.40.6,5.29.2,7.35.12,15.47.8,22803
M,25.3.4,14.24.6,27.31.1,26.9.11,18.40.8,19243
M,24.26.4,11.49.6,3.37.2,9.54.12,15.43.8,21664
M,23.51.4,12.10.6,1.4.2,6.52.12,21.15.8,28525
F,26.57.4,14.28.6,5.8.2,5.57.12,18.42.8,30069
F,23.59.4,13.1.6,29.10.1,3.2.12,23.18.8,19228
M,27.1.4,14.36.6,5.2.2,5.41.12,19.17.8,27446
M,24.53.4,14.17.6,27.35.1,26.59.11,19.45.8,25414
M,24.35.4,14.0.6,27.50.1,28.36.11,21.26.8,22385
M,24.6.4,13.17.6,28.44.1,1.54.12,23.12.8,24063
M,24.9.4,13.23.6,28.36.1,1.29.12,23.6.8,26134
F,26.54.4,16.47.6,1.45.2,5.0.12,9.1.9,19652
M,27.0.4,16.46.6,1.53.2,4.36.12,7.41.9,26598
F,25.29.4,12.28.6,5.11.2,9.49.12,13.26.8,24646
M,24.23.4,11.48.6,3.29.2,9.48.12,16.0.8,25132
M,24.7.4,11.49.6,2.42.2,9.5.12,17.48.8,17826
M,26.4.4,14.4.6,28.58.1,21.34.11,5.18.8,19148
M,26.5.4,13.57.6,29.10.1,21.31.11,4.13.8,25412
M,25.55.4,13.1.6,0.23.2,22.6.11,27.35.7,27718
M,23.49.4,10.0.6,0.51.2,27.50.11,13.48.7,27757
M,23.25.4,9.44.6,0.17.2,28.10.11,13.17.7,24381
M,23.47.4,12.13.6,23.29.1,15.12.11,21.50.7,19672
M,22.54.4,11.15.6,24.32.1,20.25.11,22.52.7,22359
M,25.26.4,14.34.6,27.34.1,24.23.11,15.42.8,22252
M,24.33.4,10.43.6,1.24.2,26.27.11,16.17.7,23229
F,22.53.4,9.36.6,29.3.1,27.49.11,14.5.7,13587
M,22.58.4,11.22.6,24.22.1,19.55.11,23.2.7,25515
M,22.57.4,11.21.6,24.24.1,20.2.11,23.0.7,25340
M,25.36.4,14.35.6,27.41.1,23.37.11,14.2.8,27963
F,23.23.4,9.44.6,0.14.2,28.11.11,13.17.7,11993
M,23.52.4,10.2.6,0.55.2,27.47.11,13.54.7,27224
M,24.49.4,11.2.6,1.27.2,25.44.11,17.39.7,
M,25.50.4,14.31.6,28.1.1,22.36.11,11.8.8,
M,23.46.4,9.57.6,0.47.2,27.54.11,13.41.7,28929
M,24.6.4,10.14.6,1.8.2,27.24.11,14.33.7,
F,25.56.4,14.25.6,28.17.1,22.9.11,9.19.8,
M,23.28.4,11.58.6,23.39.1,16.54.11,22.51.7,21853
M,23.26.4,9.45.6,0.19.2,28.10.11,13.18.7,27895
M,25.56.4,13.3.6,0.21.2,22.3.11,27.50.7,29199
M,23.22.4,11.52.6,23.45.1,17.28.11,23.2.7,28928
M,22.45.4,9.39.6,28.32.1,27.23.11,14.53.7,21484
M,25.9.4,11.30.6,1.24.2,24.46.11,19.39.7,29512
M,25.58.4,13.12.6,0.11.2,21.53.11,28.45.7,24823
M,22.40.4,10.46.6,25.19.1,22.28.11,21.37.7,26043
M,23.36.4,9.51.6,0.35.2,28.4.11,13.27.7,28714
M,22.32.4,10.6.6,26.46.1,25.12.11,18.30.7,24449
F,24.27.4,10.36.6,1.22.2,26.41.11,15.50.7,19255
M,23.35.4,12.5.6,23.34.1,16.15.11,22.33.7,22743
F,23.24.4,9.44.6,0.16.2,28.10.11,13.17.7,22154
M,22.35.4,10.30.6,25.49.1,23.31.11,20.37.7,26937
M,23.4.4,11.31.6,24.10.1,19.14.11,23.10.7,24354
M,25.33.4,14.35.6,27.38.1,23.50.11,14.32.8,26133
M,26.2.4,13.26.6,29.54.1,21.40.11,0.16.8,30827
M,26.0.4,13.19.6,0.3.2,21.46.11,29.29.7,18949
M,22.46.4,11.1.6,24.54.1,21.27.11,22.21.7,31248
M,22.32.4,10.13.6,26.28.1,24.42.11,19.11.7,28588
M,22.38.4,10.41.6,25.28.1,22.48.11,21.20.7,30259
M,25.54.4,12.58.6,0.26.2,22.10.11,27.16.7,16549
M,25.8.4,11.29.6,1.24.2,24.48.11,19.35.7,14015
M,24.10.4,10.18.6,1.12.2,27.17.11,14.46.7,28720
M,25.17.4,11.43.6,1.19.2,24.18.11,20.42.7,30812
M,22.39.4,10.45.6,25.20.1,22.30.11,21.35.7,24697
M,25.48.4,12.43.6,0.40.2,22.30.11,25.51.7,29998
M,25.8.4,11.28.6,1.24.2,24.50.11,19.3.7,26885
M,24.28.4,10.37.6,1.22.2,26.38.11,15.55.7,20811
M,22.41.4,9.41.6,28.14.1,27.7.11,15.23.7,28122
F,22.46.4,9.38.6,28.38.1,27.29.11,14.42.7,28722
M,22.51.4,11.11.6,24.38.1,20.43.11,22.45.7,24070
M,24.12.4,10.20.6,1.13.2,27.14.11,14.51.7,20749
M,24.12.4,10.20.6,1.13.2,27.14.11,14.51.7,25386
M,23.46.4,12.12.6,23.29.1,15.20.11,21.56.7,29996
M,25.29.4,12.3.6,1.10.2,23.39.11,22.18.7,21267
F,25.56.4,14.26.6,28.15.1,22.11.11,9.32.8,25240
M,22.34.4,10.26.6,25.58.1,23.50.11,20.16.7,31056
M,23.17.4,11.47.6,23.51.1,17.57.11,23.8.7,28537
M,26.5.4,13.56.6,29.11.1,21.31.11,4.7.8,26329
F,26.5.4,13.50.6,29.21.1,21.30.11,3.13.8,20813
M,23.44.4,12.11.6,23.30.1,15.30.11,22.4.7,24035
M,24.31.4,10.40.6,1.24.2,26.31.11,16.8.7,16216
M,23.4.4,9.36.6,29.33.1,28.4.11,13.34.7,30712
M,25.46.4,12.38.6,0.45.2,22.38.11,25.23.7,12030
M,24.22.4,10.31.6,1.20.2,26.52.11,15.31.7,29446
M,23.13.4,9.39.6,29.54.1,2.10.11,13.20.7,24479
M,24.57.4,11.13.6,1.27.2,25.21.11,18.24.7,27761
F,23.26.4,9.45.6,0.18.2,28.10.11,13.17.7,29559
M,25.3.4,11.21.6,1.26.2,25.4.11,19.0.7,23374
M,24.25.4,10.33.6,1.21.2,26.47.11,15.40.7,26840
F,26.2.4,14.12.6,8.44.1,21.41.11,6.37.8,16137
M,26.1.4,14.15.6,28.38.1,21.46.11,7.11.8,28792
M,24.37.4,10.47.6,1.26.2,26.16.11,16.36.7,30969
M,26.5.4,13.56.6,29.11.1,21.31.11,4.8.8,24839
M,22.41.4,10.50.6,25.12.1,22.11.11,21.51.7,12437
M,23.27.4,11.57.6,23.40.1,17.0.11,22.53.7,31009
M,25.39.4,12.22.6,0.57.2,23.4.11,23.58.7,24417
M,22.32.4,10.7.6,26.43.1,25.8.11,18.36.7,27902
M,25.24.4,14.34.6,27.33.1,24.31.11,15.57.8,30628
M,24.13.4,10.21.6,1.14.2,27.11.11,14.56.7,30094
M,26.5.4,13.47.6,29.25.1,21.30.11,2.51.8,25810
M,24.6.4,10.14.6,1.8.2,27.25.11,14.31.7,29466
M,23.27.4,11.57.6,23.40.1,17.0.11,22.53.7,15562
M,24.24.4,10.32.6,1.20.2,26.48.11,15.37.7,24612
M,24.5.4,10.14.6,1.8.2,27.26.11,14.30.7,27827
F,22.47.4,11.2.6,24.52.1,21.21.11,22.25.7,18118
M,25.38.4,12.20.6,0.59.2,23.7.11,23.49.7,25288
M,22.53.4,11.15.6,24.32.1,20.28.11,22.51.7,28458
M,26.2.4,14.14.6,28.39.1,21.45.11,7.3.8,28029
M,26.4.4,13.39.6,29.37.1,21.33.11,1.48.8,19067
M,22.43.4,9.40..6,28.24.1,27.16.11,15.6.7,
F,23.1.4,11.27.6,24.15.1,19.33.11,23.7.7,30234
M,23.23.4,9.43.6,0.13.2,28.11.11,13.17.7,30563
M,26.0.4,13.19.6,0.3.2,21.46.11,29.30.7,28742
M,22.49.4,11.7.6,24.45.1,21.2.11,22.35.7,24770
M,26.5.4,13.51.6,29.20.1,21.30.11,3.21.8,29372
M,22.50.4,9.37.6,28.52.1,27.40.11,14.21.7,16879
M,22.48.4,9.37.6,28.43.1,27.34.11,14.34.7,29319
M,24.9.4,10.17.6,1.11.2,27.19.11,14.42.7,30826
M,23.44.4,12.11.6,23.30.1,15.29.11,22.3.7,23703
M,22.48.4,9.37.6,28.45.1,27.35.11,14.32.7,23841
F,26.5.4,13.55.6,29.14.1,21.30.11,3.51.8,29531
M,25.56.4,14.26.6,28.15.1,22.11.11,9.29.8,26057
M,26.2.4,13.27.6,29.53.1,21.40.11,0.22.8,26264
M,25.55.4,13.3.6,0.21.2,22.3.11,27.47.7,29302
M,23.17.4,11.48.6,23.50.1,17.53.11,23.8.7,29945
M,22.41.4,10.48.6,25.15.1,22.19.11,21.45.7,25353
M,26.5.4,13.47.6,29.26.1,21.30.11,2.49.8,28026
M,25.30.4,12.4.6,1.9.2,23.37.11,22.24.7,15457
M,25.11.4,11.32.6,1.23.2,24.40.11,19.52.7,26437
M,22.37.4,10.37.6,25.35.1,23.2.11,21.7.7,14778
M,25.22.4,14.33.6,27.32.1,24.38.11,16.12.8,29009
M,25.38.4,12.20.6,0.59.2,23.7.11,23.47.7,22943
M,22.45.4,10.59.6,24.56.1,21.32.11,22.18.7,25674
M,25.29.4,14.35.6,27.36.1,24.7.11,15.8.8,5204
M,22.32.4,10.0.6,27.1.1,25.35.11,17.57.7,30862
M,22.50.4,11.8.6,24.43.1,20.57.11,22.38.7,11837
F,23.34.4,9.50.6,0.32.2,28.5.11,13.24.7,17491
F,22.56.4,11.20.6,24.26.1,20.7.11,22.58.7,21457
M,23.24.4,11.55.6,23.43.1,17.15.11,22.58.7,29122
M,26.5.4,13.50.6,29.21.1,21.30.11,3.14.8,30811
M,22.43.4,9.9.6,28.26.1,27.18.11,15.2.7,27411
M,24.43.4,10.55.6,1.27.2,26.1.11,17.6.7,23191
M,26.3.4,13.33.6,29.45.1,21.35.11,1.6.8,24240
F,25.52.4,12.52.6,0.32.2,22.17.11,26.46.7,28986
M,26.2.4,14.15.6,28.39.1,21.45.11,7.7.8,30323
M,23.12.4,11.42.6,23.57.1,18.24.11,23.11.7,
M,25.38.4,12.19.6,0.59.2,23.8.11,23.44.7,18723
M,26.1.4,14.16.6,28.36.1,21.47.11,7.23.8,29834
M,23.10.4,9.38.6,29.48.1,28.9.11,13.23.7,30882
F,22.53.4,11.15.6,24.32.1,20.28.11,22.51.7,27861
M,25.43.4,14.34.6,27.49.1,23.6.11,12.41.8,27879
F,22.45.4,10.58.6,24.59.1,21.40.11,22.13.7,26635
M,22.32.4,10.6.6,26.44.1,25.9.11,18.35.7,26518
M,22.37.4,9.47.6,27.49.1,26.38.11,16.14.7,29357
M,23.51.4,12.15.6,23.28.1,14.54.11,21.35.7,30860
F,25.42.4,12.29.6,0.52.2,22.52.11,24.34.7,30308
M,22.38.4,10.42.6,25.26.1,22.43.11,21.24.7,29287
M,23.21.4,9.42.6,0.10.2,28.11.11,13.16.7,30307
M,25.4.4,11.22.6,1.26.2,25.2.11,19.4.7,26088
M,22.42.4,10.51.6,25.10.1,22.7.11,21.54.7,24716
M,22.41.4,9.41.6,28.14.1,27.7.11,15.23.7,28875
F,24.55.4,11.10.6,1.27.2,25.27.11,18.12.7,21595
M,23.1.4,11.26.6,24.17.1,19.37.11,23.6.7,26933
M,25.33.4,12.9.6,1.6.2,23.27.11,22.52.7,27541
M,22.55.4,11.18.6,24.28.1,20.15.11,22.56.7,19078
M,25.28.4,12.1.6,1.11.2,23.43.11,22.8.7,17614
F,22.33.4,10.19.6,26.12.1,24.15.11,19.46.7,31160
M,23.48.4,9.59.6,0.50.2,27.51.11,13.46.7,29046
M,24.37.4,10.46.6,1.25.2,26.18.11,16.33.7,29290
M,25.45.4,14.33.6,27.52.1,22.57.11,12.16.8,8271
M,24.2.4,10.11.6,1.5.2,27.31.11,14.20.7,17439
M,25.29.4,14.35.6,27.36.1,24.6.11,15.7.8,30641
F,23.36.4,9.50.6,0.34.2,28.4.11,13.25.7,29028
M,23.53.4,10.3.6,0.56.2,27.45.11,13.57.7,26993
M,25.14.4,11.37.6,1.22.2,24.31.11,20.13.7,26098
F,23.4.4,9.37.6,29.34.1,28.5.11,13.32.7,24498
M,25.55.4,14.26.6,28.14.1,22.13.11,9.38.8,29653
M,25.34.4,14.35.6,27.39.1,23.47.11,14.25.8,28680
M,22.32.4,10.5.6,26.48.1,25.15.11,18.26.7,26606
F,22.51.4,9.36.6,28.55.1,27.42.11,14.17.7,30142
M,25.44.4,12.32.6,0.50.2,22.47.11,24.50.7,29908
F,22.54.4,9.36.6,29.5.1,27.50.11,14.3.7,25740
M,22.35.4,10.30.6,25.49.1,23.31.11,20.37.7,22653
M,22.56.4,11.19.6,24.26.1,20.8.11,22.58.7,28703
F,23.8.4,11.36.6,24.4.1,18.51.11,23.12.7,26255
M,26.3.4,14.11.6,28.45.1,21.40.11,6.28.8,22687
M,22.35.4,10.31.6,25.47.1,23.27.11,20.42.7,19731
M,23.17.4,11.47.6,23.51.1,17.55.11,23.8.7,22610
M,24.59.4,11.15.6,1.27.2,25.17.11,18.32.7,21556
M,25.13.4,11.36.6,1.22.2,24.32.11,20.11.7,28617
M,25.28.4,14.34.6,27.35.1,24.13.11,15.21.8,30573
F,23.40.4,12.8.6,23.31.1,15.49.11,22.17.7,30132
M,22.32.4,10.18.6,26.16.1,24.22.11,19.38.7,28156
M,26.5.4,13.48.6,29.25.1,21.30.11,2.55.8,30761
M,25.20.4,14.32.6,27.31.1,24.50.11,16.34.8,20129
M,23.4.4,9.37.6,29.33.1,28.4.11,13.33.7,26311
M,22.43.4,10.54.6,25.5.1,21.55.11,22.3.7,29893
F,26.2.4,13.26.6,29.54.1,21.40.11,0.20.8,28809
M,23.45.4,12.12.6,23.29.1,15.21.11,21.57.7,31159
M,25.21.4,11.49.6,1.17.2,24.5.11,21.13.7,25359
F,26.4.4,13.37.6,29.39.1,21.33.11,1.37.8,12978
M,22.33.4,9.56.6,27.15.1,25.54.11,17.26.7,29848
M,22.42.4,10.52.6,25.8.1,22.3.11,21.57.7,28066
M,24.20.4,10.29.6,1.18.2,26.56.11,15.23.7,16940
M,22.32.4,10.6.6,26.45.1,25.10.11,18.32.7,23703
M,25.34.4,12.13.6,1.4.2,23.21.11,23.8.7,29847
M,24.28.4,10.36.6,1.22.2,26.40.11,15.53.7,14906
M,25.20.4,14.32.6,27.31.1,24.50.11,16.33.8,29723
M,25.56.4,13.5.6,0.19.2,22.1.11,27.59.7,29480
M,25.50.4,12.47.6,0.37.2,22.25.11,26.13.7,21884
F,25.51.4,12.51.6,0.33.2,22.19.11,26.35.7,13627
M,23.45.4,9.57.6,0.46.2,27.55.11,13.40.7,30516
M,23.57.4,10.7.6,1.0.2,27.39.11,14.8.7,23927
M,23.2.4,9.36.6,29.29.1,28.3.11,13.37.7,28893
F,22.34.4,9.53.6,27.22.1,26.5.11,17.9.7,22522
M,25.15.4,11.38.6,1.21.2,24.27.11,20.21.7,25314
M,25.41.4,12.27.6,0.53.2,22.55.11,24.25.7,26304
M,23.35.4,12.4.6,23.35.1,16.18.11,22.34.7,29069
M,23.39.4,12.8.6,23.32.1,15.53.11,22.19.7,28473
F,23.30.4,12.1.6,23.38.1,16.41.11,22.45.7,30615
M,25.43.4,14.34.6,27.49.1,23.6.11,12.40.8,25876
M,22.32.4,10.4.6,26.51.1,25.19.11,18.19.7,30315
M,23.20.4,9.42.6,0.7.2,28.11.11,13.17.7,18123
M,23.49.4,10.0.6,0.52.2,27.50.11,13.49.7,29412
M,25.50.4,12.48.6,0.35.2,22.22.11,26.22.7,21873
M,25.39.4,14.35.6,27.44.1,23.24.11,13.28.8,28337
M,24.25.4,10.33.6,1.21.2,26.46.11,15.40.7,26511
M,22.28.4,7.47.6,26.51.1,15.40.11,16.21.6,29428
M,24.23.4,10.18.6,26.46.1,10.31.11,0.37.7,29025
M,24.18.4,12.23.6,23.37.1,12.38.11,18.50.7,30586
F,23.55.4,9.27.6,27.17.1,11.56.11,25.47.6,27346
M,21.54.4,7.27.6,25.57.1,16.21.11,14.3.6,20157
M,21.56.4,9.31.6,19.58.1,7.46.11,22.18.6,30482
M,21.41.4,7.24.6,25.25.1,16.21.11,13.29.6,28769
F,23.58.4,12.19.6,23.28.1,14.15.11,20.57.7,19160
F,22.5.4,9.41.6,19.46.1,6.55.11,22.47.6,27947
M,24.4.4,12.21.6,23.29.1,13.49.11,20.28.7,16766
M,24.22.4,10.16.6,26.47.1,10.34.11,0.26.7,23014
F,21.22.4,8.32.6,21.27.1,11.54.11,18.13.6,29175
M,24.32.4,10.41.6,26.25.1,10.5.11,2.54.7,27912
M,24.43.4,12.2.6,24.34.1,10.17.11,12.46.7,28287
M,24.36.4,10.52.6,26.14.1,9.56.11,4.0.7,29481
M,23.52.4,9.22.6,27.19.1,12.5.11,25.22.6,23117
M,21.23.4,7.29.6,24.19.1,15.49.11,13.26.6,23806
M,22.36.4,7.53.6,26.59.1,15.26.11,16.59.6,7152
M,22.50.4,8.6.6,27.11.1,14.56.11,18.15.6,24711
M,24.45.4,11.55.6,24.47.1,10.4.11,11.41.7,31074
F,22.17.4,9.52.6,19.35.1,5.46.11,23.10.6,29457
F,23.16.4,8.33.6,27.24.1,13.51.11,20.51.6,22595
F,21.39.4,7.24.6,25.21.1,16.20.11,13.26.6,23412
M,22.19.4,7.41.6,26.40.1,15.55.11,15.39.6,28054
M,24.14.4,12.23.6,23.34.1,12.58.11,19.21.7,26640
M,21.56.4,7.28.6,26.2.1,16.20.11,14.10.6,27904
M,22.57.4,8.13.6,27.16.1,14.38.11,18.57.6,23091
M,24.30.4,10.36.6,26.30.1,10.10.11,2.21.7,27118
M,24.46.4,11.42.6,25.8.1,9.50.11,9.51.7,25076
M,21.17.4,8.17.6,21.57.1,12.50.11,17.1.6,27152
M,21.14.4,8.1.6,22.32.1,13.48.11,15.44.6,27089
M,21.25.4,7.28.6,24.29.1,15.56.11,13.22.6,26899
M,24.15.4,10.2.6,26.58.1,10.55.11,29.2.6,27775
M,21.38.4,7.24.6,25.19.1,16.20.11,13.25.6,14438
F,21.15.4,7.44.6,23.18.1,14.50.11,14.26.6,31223
M,24.45.4,11.29.6,25.27.1,9.44.11,8.11.7,24515
M,24.22.4,12.23.6,23.42.1,12.15.11,18.9.7,28818
M,22.5.4,9.41.6,19.46.1,6.53.11,22.48.6,26318
M,21.18.4,7.36.6,23.49.1,15.23.11,13.49.6,27704
M,23.21.4,8.40.6,27.25.1,13.37.11,21.25.6,22944
M,24.38.4,10.58.6,26.6.1,9.51.11,4.42.7,26837
M,21.26.4,7.27.6,24.34.1,16.0.11,13.20.6,24951
F,22.6.4,9.42.6,19.45.1,6.49.11,22.49.6,14478
M,21.28.4,8.48.6,21.0.1,10.53.11,19.27.6,14780
M,24.16.4,12.23.6,23.36.1,12.44.11,18.58.7,31196
M,21.37.4,9.4.6,20.34.1,9.46.11,20.40.6,29940
M,22.31.4,7.50.6,26.55.1,15.35.11,16.37.6,22703
M,21.14.4,7.54.6,22.49.1,14.12.11,15.12.6,31250
F,22.15.4,9.50.6,19.37.1,5.59.11,23.7.6,19829
F,21.18.4,8.18.6,21.53.1,12.44.11,17.10.6,26989
M,22.28.4,7.47.6,26.50.1,15.41.11,16.19.6,26050
M,23.30.4,8.51.6,27.25.1,13.11.11,22.29.6,28657
M,21.19.4,8.24.6,21.42.1,12.24.11,17.35.6,26189
F,24.45.4,11.28.6,25.29.1,9.43.11,8.3.7,18791
M,21.29.4,7.26.6,24.46.1,16.7.11,13.18.6,29026
F,22.52.4,8.8.6,27.13.1,14.51.11,18.26.6,20521
M,21.16.4,8.12.6,22.6.1,13.6.11,16.40.6,31013
M,24.44.4,11.22.6,25.38.1,9.43.11,7.17.7,21417
M,22.0.4,9.35.6,19.53.1,7.23.11,22.32.6,26107
M,21.24.4,7.28.6,24.27.1,15.55.11,13.22.6,25702
F,24.33.4,10.43.6,26.22.1,10.3.11,3.8.7,29727
M,21.23.4,8.36.6,21.19.1,11.38.11,18.34.6,21002
M,21.47.4,7.25.6,25.42.1,16.23.11,13.44.6,26877
F,22.59.4,8.15.6,27.17.1,14.34.11,19.8.6,
M,21.59.4,9.33.6,19.54.1,7.32.11,22.27.6,24609
F,21.45.4,9.16.6,20.17.1,8.57.11,21.26.6,876
M,23.48.4,9.17.6,27.21.1,12.16.11,24.52.6,24229
M,22.12.4,7.36.6,26.30.1,16.5.11,15.10.6,26382
M,24.35.4,12.16.6,24.4.1,11.6.11,15.36.7,20573
M,24.43.4,12.3.6,24.32.1,10.19.11,12.57.7,20602
M,23.3.4,8.20.6,27.19.1,14.23.11,19.34.6,13654
M,24.6.4,12.22.6,23.30.1,13.37.11,20.13.7,22337
M,23.42.4,9.7.6,27.23.1,12.36.11,23.57.6,26940
M,22.15.4,7.38.6,26.34.1,16.1.11,15.21.6,17986
M,22.17.4,9.51.6,19.36.1,5.51.11,23.9.6,28506
M,22.39.4,7.56.6,27.2.1,15.20.11,17.15.6,29781
F,24.16.4,10.4.6,26.57.1,10.52.11,29.14.6,27455
M,21.20.4,8.28.6,21.34.1,12.8.11,17.55.6,25996
M,22.1.4,7.30.6,26.11.1,16.17.11,14.26.6,21961
M,24.45.4,11.30.6,25.26.1,9.44.11,8.18.7,17991
M,22.23.4,9.57.6,19.32.1,5.14.11,23.15.6,27646
M,21.31.4,8.51.6,20.53.1,10.38.11,19.45.6,23519
M,21.36.4,7.24.6,25.11.1,16.18.11,13.21.6,16770
M,21.14.4,7.52.6,22.55.1,14.21.11,15.2.6,26340
M,24.45.4,11.30.6,25.27.1,9.44.11,8.14.7,31222
M,24.10.4,9.52.6,27.4.1,11.10.11,28.8.6,24899
F,24.13.4,12.23.6,23.33.1,13.3.11,19.27.7,25423
M,24.1.4,12.20.6,23.28.1,14.1.11,20.42.7,29349
M,24.46.4,11.42.6,25.9.1,9.50.11,9.48.7,24650
M,24.27.4,12.22.6,23.48.1,11.51.11,17.23.7,27534
M,21.16.4,7.41.6,23.28.1,15.1.11,14.13.6,30540
M,22.56.4,8.12.6,27.15.1,14.42.11,18.48.6,23341
M,23.48.4,9.17.6,27.21.1,12.16.11,24.50.6,23319
F,21.15.4,7.44.6,23.19.1,14.51.11,14.24.6,19294
F,22.23.4,9.56.6,19.32.1,5.16.11,23.15.6,26342
M,23.57.4,9.31.6,27.16.1,11.49.11,26.7.6,27019
M,22.37.4,7.54.6,27.0.1,15.24.11,17.5.6,30478
M,21.19.4,7.33.6,24.0.1,15.33.11,13.39.6,28004
M,23.12.4,8.29.6,27.22.1,14.1.11,20.26.6,28327
F,24.41.4,12.8.6,24.22.1,10.34.11,13.54.7,30681
M,24.28.4,10.29.6,26.36.1,10.17.11,1.44.7,28156
F,24.46.4,11.47.6,25.1.1,9.54.11,10.28.7,20168
M,21.49.4,9.22.6,20.9.1,8.29.11,21.48.6,8706
M,21.24.4,7.28.6,24.23.1,15.52.11,13.24.6,31060
M,22.46.4,8.2.6,27.8.1,15.5.11,17.52.6,17031
M,22.26.4,7.45.6,26.48.1,15.44.11,16.11.6,21905
M,22.28.4,10.0.6,19.29.1,4.49.11,23.16.6,19784
M,23.7.4,8.23.6,27.21.1,14.14.11,19.55.6,23950
F,21.24.4,8.36.6,21.19.1,11.37.11,18.35.6,24957
F,23.57.4,9.30.6,27.16.1,11.49.11,26.7.6,22406
M,24.46.4,11.40.6,25.11.1,9.48.11,9.34.7,24449
M,24.46.4,11.40.6,25.11.1,9.48.11,9.34.7,22424
M,24.20.4,10.12.6,26.50.1,10.39.11,0.3.7,31208
F,24.32.4,12.18.6,23.58.1,11.22.11,16.17.7,25588
M,24.46.4,11.41.6,25.9.1,9.49.11,9.45.7,26289
M,21.20.4,7.32.6,24.3.1,15.36.11,13.37.6,30196
F,22.15.4,9.50.6,19.37.1,6.2.11,23.6.6,23938
M,21.36.4,9.1.6,20.38.1,9.58.11,20.28.6,30939
F,21.16.4,8.9.6,22.13.1,13.18.11,16.24.6,10000
F,21.45.4,9.16.6,20.16.1,8.53.11,21.29.6,26662
F,21.17.4,7.38.6,23.41.1,15.15.11,13.57.6,12489
M,22.56.4,8.12.6,27.15.1,14.41.11,18.51.6,10800
M,24.2.4,12.21.6,23.29.1,13.56.11,20.37.7,23293
F,21.45.4,7.24.6,25.35.1,16.23.11,13.37.6,29458
M,22.23.4,7.43.6,26.45.1,15.49.11,15.57.6,27112
M,21.24.4,7.28.6,24.27.1,15.55.11,13.22.6,8301
M,21.22.4,7.30.6,24.16.1,15.46.11,13.28.6,29860
M,22.19.4,7.40.6,26.39.1,15.55.11,15.39.6,27341
M,21.22.4,7.30.6,24.17.1,15.47.11,13.27.6,30365
M,21.47.4,9.18.6,20.14.1,8.45.11,21.36.6,27833
M,21.34.4,7.24.6,25.6.1,16.16.11,13.20.6,31300
M,21.31.4,8.52.6,20.52.1,10.34.11,19.49.6,19342
F,21.16.4,7.41.6,23.29.1,15.2.11,14.11.6,22678
M,23.59.4,12.19.6,23.28.1,14.13.11,20.56.7,29003
M,21.43.4,7.24.6,25.31.1,16.22.11,13.33.6,23044
M,24.40.4,11.3.6,26.1.1,9.48.11,5.13.7,30046
M,24.35.4,10.49.6,26.17.1,9.58.11,3.43.7,22980
M,21.32.4,8.54.6,20.49.1,10.27.11,19.57.6,27724
M,21.14.4,7.57.6,22.42.1,14.2.11,15.26.6,27643
F,21.57.4,9.31.6,19.57.1,7.42.11,22.21.6,9039
M,21.51.4,7.26.6,25.51.1,16.22.11,13.54.6,27615
M,21.41.4,7.24.6,25.27.1,16.22.11,13.30.6,30080
F,23.35.4,8.58.6,27.25.1,12.55.11,23.8.6,28799
M,24.31.4,12.19.6,23.55.1,11.30.11,16.36.7,24230
M,22.42.4,7.59.6,27.5.1,15.12.11,17.34.6,17933
M,24.45.4,11.33.6,25.23.1,9.45.11,8.36.7,26262
M,22.28.4,10.0.6,19.29.1,4.47.11,23.16.6,30730
F,21.30.4,7.25.6,24.53.1,16.10.11,13.17.6,27001
M,24.46.4,11.39.6,25.13.1,9.48.11,9.27.7,30010
